post_yn,cloud_software_required,database_software_required,statistic_software_required,programming_language_required,linkedin_url
yes,,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/15869674?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,,https://www.linkedin.com/jobs2/view/12206051?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/13791165?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,SAS,Ruby,https://www.linkedin.com/jobs2/view/13718052?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/12525198?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,R,Python,https://www.linkedin.com/jobs2/view/17999351?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Hive,SQL,STATA,Python,https://www.linkedin.com/jobs2/view/13466536?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,R,Python,https://www.linkedin.com/jobs2/view/14991974?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,STATA,Python,https://www.linkedin.com/jobs2/view/14925189?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/14936690?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/14974530?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,,,https://www.linkedin.com/jobs2/view/14973097?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/12065811?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,Ruby,https://www.linkedin.com/jobs2/view/16916922?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,SQL,,,https://www.linkedin.com/jobs2/view/12303329?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,R,Python,https://www.linkedin.com/jobs2/view/22766741?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,,R,Python,https://www.linkedin.com/jobs2/view/14900570?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,C/C++/C#/Objective-C,https://www.linkedin.com/jobs2/view/18741496?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/11357830?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SAS,Python,https://www.linkedin.com/jobs2/view/18718321?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/22009805?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/25869730?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,R,Python,https://www.linkedin.com/jobs2/view/25867520?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,SQL,R,Python,https://www.linkedin.com/jobs2/view/13788177?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,SQL,,C/C++/C#/Objective-C,https://www.linkedin.com/jobs2/view/14999769?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/14998836?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/25846809?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Java/Javascript,https://www.linkedin.com/jobs2/view/18042509?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,,SPSS,,https://www.linkedin.com/jobs2/view/25893179?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Hadoop,mySQL,SAS,Python,https://www.linkedin.com/jobs2/view/25823032?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,,R,Python,https://www.linkedin.com/jobs2/view/18764582?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/25801988?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,,SPSS,Python,https://www.linkedin.com/jobs2/view/12193591?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,,Ruby,https://www.linkedin.com/jobs2/view/24946418?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/25840899?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,,https://www.linkedin.com/jobs2/view/18771585?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,MapReduce/Elastic MapReduce,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/11197872?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,R,Python,https://www.linkedin.com/jobs2/view/12442499?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/14964406?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,R,Python,https://www.linkedin.com/jobs2/view/36068719?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,SQL,R,Python,https://www.linkedin.com/jobs2/view/18738948?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SAS,Ruby,https://www.linkedin.com/jobs2/view/25831114?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/12203355?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/17771643?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,,R,Python,https://www.linkedin.com/jobs2/view/21694874?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,,SAS,Python,https://www.linkedin.com/jobs2/view/12525723?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,,Python,https://www.linkedin.com/jobs2/view/11967026?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,SAS,,https://www.linkedin.com/jobs2/view/12452023?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/18720504?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,,https://www.linkedin.com/jobs2/view/18742880?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,,,Java/Javascript,https://www.linkedin.com/jobs2/view/12536392?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,,Python,https://www.linkedin.com/jobs2/view/11768741?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/26933414?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Hadoop,mySQL,SAS,Python,https://www.linkedin.com/jobs2/view/25840039?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Pig,SQL,R,Python,https://www.linkedin.com/jobs2/view/13775167?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Hadoop,,SAS,Python,https://www.linkedin.com/jobs2/view/18756498?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/39113331?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829725550%2CVSRPtargetId%3A39113331%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39110913?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829747781%2CVSRPtargetId%3A39110913%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/39108372?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829747781%2CVSRPtargetId%3A39108372%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/39106703?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829747781%2CVSRPtargetId%3A39106703%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/39102498?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829747781%2CVSRPtargetId%3A39102498%2CVSRPcmpt%3Aprimary
yes,MapReduce/Elastic MapReduce,Oracle,,Python,https://www.linkedin.com/jobs2/view/39097041?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829764790%2CVSRPtargetId%3A39097041%2CVSRPcmpt%3Aprimary
yes,,SQL,SAS,Java/Javascript,https://www.linkedin.com/jobs2/view/39096028?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829764790%2CVSRPtargetId%3A39096028%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39090697?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829764790%2CVSRPtargetId%3A39090697%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39090592?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829764790%2CVSRPtargetId%3A39090592%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39088964?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829764790%2CVSRPtargetId%3A39088964%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39089485?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829764790%2CVSRPtargetId%3A39089485%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39086881?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829764790%2CVSRPtargetId%3A39086881%2CVSRPcmpt%3Aprimary
yes,,,,HTML/HTML5,https://www.linkedin.com/jobs2/view/39085037?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829764790%2CVSRPtargetId%3A39085037%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39085006?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829794814%2CVSRPtargetId%3A39085006%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39084226?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829794814%2CVSRPtargetId%3A39084226%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39082505?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829794814%2CVSRPtargetId%3A39082505%2CVSRPcmpt%3Aprimary
yes,MapReduce/Elastic MapReduce,,,Python,https://www.linkedin.com/jobs2/view/39081999?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829794814%2CVSRPtargetId%3A39081999%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/39076115?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829794814%2CVSRPtargetId%3A39076115%2CVSRPcmpt%3Aprimary
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/39066461?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829794814%2CVSRPtargetId%3A39066461%2CVSRPcmpt%3Aprimary
yes,Pig,SQL,SAS,,https://www.linkedin.com/jobs2/view/39057135?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829825477%2CVSRPtargetId%3A39057135%2CVSRPcmpt%3Aprimary
yes,NoSQL,SQL,,Ruby,https://www.linkedin.com/jobs2/view/39054445?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829825477%2CVSRPtargetId%3A39054445%2CVSRPcmpt%3Aprimary
yes,NoSQL,mySQL,,Java/Javascript,https://www.linkedin.com/jobs2/view/39054356?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420829825477%2CVSRPtargetId%3A39054356%2CVSRPcmpt%3Aprimary
yes,Pig,SQL,R,Python,https://www.linkedin.com/jobs2/view/39053190?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830111598%2CVSRPtargetId%3A39053190%2CVSRPcmpt%3Aprimary
yes,Hadoop,SQL,,,https://www.linkedin.com/jobs2/view/39052359?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830111598%2CVSRPtargetId%3A39052359%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39052351?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830111598%2CVSRPtargetId%3A39052351%2CVSRPcmpt%3Aprimary
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/39051559?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830136403%2CVSRPtargetId%3A39051559%2CVSRPcmpt%3Aprimary
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/39050377?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830136403%2CVSRPtargetId%3A39050377%2CVSRPcmpt%3Aprimary
yes,,,,Python,https://www.linkedin.com/jobs2/view/39049880?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830136403%2CVSRPtargetId%3A39049880%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39049862?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830136403%2CVSRPtargetId%3A39049862%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/39048763?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830136403%2CVSRPtargetId%3A39048763%2CVSRPcmpt%3Aprimary
yes,,SQL,R,Java/Javascript,https://www.linkedin.com/jobs2/view/39044597?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830165757%2CVSRPtargetId%3A39044597%2CVSRPcmpt%3Aprimary
yes,,,SPSS,Python,https://www.linkedin.com/jobs2/view/39040263?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830181975%2CVSRPtargetId%3A39040263%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/39039465?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830207295%2CVSRPtargetId%3A39039465%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/39039082?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830207295%2CVSRPtargetId%3A39039082%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39037850?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830236647%2CVSRPtargetId%3A39037850%2CVSRPcmpt%3Aprimary
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/39037541?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830236647%2CVSRPtargetId%3A39037541%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/39037623?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830236647%2CVSRPtargetId%3A39037623%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39036922?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830236647%2CVSRPtargetId%3A39036922%2CVSRPcmpt%3Aprimary
yes,Pig,,,Python,https://www.linkedin.com/jobs2/view/39036589?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830236647%2CVSRPtargetId%3A39036589%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39034953?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830236647%2CVSRPtargetId%3A39034953%2CVSRPcmpt%3Aprimary
yes,Pig,,,,https://www.linkedin.com/jobs2/view/39034607?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830236647%2CVSRPtargetId%3A39034607%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39033421?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830260087%2CVSRPtargetId%3A39033421%2CVSRPcmpt%3Aprimary
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/39032629?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830260087%2CVSRPtargetId%3A39032629%2CVSRPcmpt%3Aprimary
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/39032147?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830260087%2CVSRPtargetId%3A39032147%2CVSRPcmpt%3Aprimary
yes,NoSQL,,,,https://www.linkedin.com/jobs2/view/39030749?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830260087%2CVSRPtargetId%3A39030749%2CVSRPcmpt%3Aprimary
yes,,,MatLab,C/C++/C#/Objective-C,https://www.linkedin.com/jobs2/view/39030356?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830281661%2CVSRPtargetId%3A39030356%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39029691?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830281661%2CVSRPtargetId%3A39029691%2CVSRPcmpt%3Aprimary
yes,Hadoop,,,,https://www.linkedin.com/jobs2/view/39029687?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830281661%2CVSRPtargetId%3A39029687%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/39029089?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830281661%2CVSRPtargetId%3A39029089%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/39028999?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830281661%2CVSRPtargetId%3A39028999%2CVSRPcmpt%3Aprimary
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/39028563?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830308471%2CVSRPtargetId%3A39028563%2CVSRPcmpt%3Aprimary
yes,Hadoop,,R,Python,https://www.linkedin.com/jobs2/view/39026966?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830308471%2CVSRPtargetId%3A39026966%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/39025777?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830308471%2CVSRPtargetId%3A39025777%2CVSRPcmpt%3Aprimary
yes,MapReduce/Elastic MapReduce,SQL,,Python,https://www.linkedin.com/jobs2/view/39021539?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830714535%2CVSRPtargetId%3A39021539%2CVSRPcmpt%3Aprimary
yes,Pig,Teradata,SAS,,https://www.linkedin.com/jobs2/view/39020991?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830739878%2CVSRPtargetId%3A39020991%2CVSRPcmpt%3Aprimary
yes,,,SAS,Python,https://www.linkedin.com/jobs2/view/39020775?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830756269%2CVSRPtargetId%3A39020775%2CVSRPcmpt%3Aprimary
yes,Pig,,,Ruby,https://www.linkedin.com/jobs2/view/39019367?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830771750%2CVSRPtargetId%3A39019367%2CVSRPcmpt%3Aprimary
yes,NoSQL,SQL,,Python,https://www.linkedin.com/jobs2/view/39016200?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830785722%2CVSRPtargetId%3A39016200%2CVSRPcmpt%3Aprimary
yes,Pig,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/39016181?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830785722%2CVSRPtargetId%3A39016181%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/39015665?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830785722%2CVSRPtargetId%3A39015665%2CVSRPcmpt%3Aprimary
yes,NoSQL,SQL,,C/C++/C#/Objective-C,https://www.linkedin.com/jobs2/view/39015656?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830785722%2CVSRPtargetId%3A39015656%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/39014573?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830785722%2CVSRPtargetId%3A39014573%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/39014251?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830785722%2CVSRPtargetId%3A39014251%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/39012283?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420830815387%2CVSRPtargetId%3A39012283%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/13779598?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,,,,https://www.linkedin.com/jobs2/view/13779598?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Hadoop,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/18641562?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/11324424?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,,R,Python,https://www.linkedin.com/jobs2/view/18304553?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/13747046?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/13778744?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,Java/Javascript,https://www.linkedin.com/jobs2/view/12574955?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,mySQL,SAS,Python,https://www.linkedin.com/jobs2/view/18720553?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/25894564?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/25830419?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/13727363?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/13730058?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/13774278?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/22628034?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SAS,,https://www.linkedin.com/jobs2/view/21758718?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/11187176?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/12446311?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/25829519?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SAS,,https://www.linkedin.com/jobs2/view/25871940?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/25811627?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/14911236?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/14910373?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/31287230?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/18741486?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/25896746?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/26923476?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,SQL,,Python,https://www.linkedin.com/jobs2/view/25875950?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,SQL,,Python,https://www.linkedin.com/jobs2/view/25876382?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,,Python,https://www.linkedin.com/jobs2/view/19873460?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,Teradata,,,https://www.linkedin.com/jobs2/view/11349428?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,SAS,Ruby,https://www.linkedin.com/jobs2/view/12577889?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,,Python,https://www.linkedin.com/jobs2/view/12355485?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,mySQL,SAS,Python,https://www.linkedin.com/jobs2/view/11998738?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,,Java/Javascript,https://www.linkedin.com/jobs2/view/17382512?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,,,,https://www.linkedin.com/jobs2/view/11953838?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,,,Python,https://www.linkedin.com/jobs2/view/12161009?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,,,,https://www.linkedin.com/jobs2/view/12352873?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,SQL,,Ruby,https://www.linkedin.com/jobs2/view/13727014?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,,Java/Javascript,https://www.linkedin.com/jobs2/view/24293561?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,mySQL,,C/C++/C#/Objective-C,https://www.linkedin.com/jobs2/view/17710425?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,,,Ruby,https://www.linkedin.com/jobs2/view/17674271?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,,SAS,Python,https://www.linkedin.com/jobs2/view/14976146?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,,Ruby,https://www.linkedin.com/jobs2/view/20663586?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,,Java/Javascript,https://www.linkedin.com/jobs2/view/11317713?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,,Perl,https://www.linkedin.com/jobs2/view/25868854?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,STATA,Python,https://www.linkedin.com/jobs2/view/25871183?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/25838436?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,R,Python,https://www.linkedin.com/jobs2/view/25826120?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,C/C++/C#/Objective-C,https://www.linkedin.com/jobs2/view/12224143?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,C/C++/C#/Objective-C,https://www.linkedin.com/jobs2/view/18494958?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,Python,https://www.linkedin.com/jobs2/view/11186748?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/11141151?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/12288962?trk=job_view_browse_map&trk=job_view_browse_map
