post_yn,cloud_software_required,database_software_required,statistic_software_required,programming_language_required,linkedin_url
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/38480839?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A38480839%2CVSRPcmpt%3Aprimary
yes,,mySQL,R,Ruby,https://www.linkedin.com/jobs2/view/38313230?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A38313230%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/13778744?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A13778744%2CVSRPcmpt%3Aprimary
yes,Pig,,R,,https://www.linkedin.com/jobs2/view/37458856?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A37458856%2CVSRPcmpt%3Aprimary
yes,Hive,SQL,R,Python,https://www.linkedin.com/jobs2/view/21865157?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A21865157%2CVSRPcmpt%3Aprimary
yes,NoSQL,Teradata,R,Python,https://www.linkedin.com/jobs2/view/12163816?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A12163816%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/25834636?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A25834636%2CVSRPcmpt%3Aprimary
yes,,,SPSS,Python,https://www.linkedin.com/jobs2/view/38463573?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A38463573%2CVSRPcmpt%3Aprimary
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/13748431?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A13748431%2CVSRPcmpt%3Aprimary
yes,,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/38985432?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A38985432%2CVSRPcmpt%3Aprimary
yes,Hive,SQL,STATA,Python,https://www.linkedin.com/jobs2/view/11747982?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A11747982%2CVSRPcmpt%3Aprimary
yes,MapReduce/Elastic MapReduce,SQL,SPSS,Ruby,https://www.linkedin.com/jobs2/view/38517696?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A38517696%2CVSRPcmpt%3Aprimary
yes,MapReduce/Elastic MapReduce,,R,Python,https://www.linkedin.com/jobs2/view/26942247?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A26942247%2CVSRPcmpt%3Aprimary
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/32567069?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A32567069%2CVSRPcmpt%3Aprimary
yes,,SQL,MatLab,Python,https://www.linkedin.com/jobs2/view/38257753?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734972317%2CVSRPtargetId%3A38257753%2CVSRPcmpt%3Aprimary
yes,Hadoop,,R,Python,https://www.linkedin.com/jobs2/view/17710441?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735341387%2CVSRPtargetId%3A17710441%2CVSRPcmpt%3Aprimary
yes,NoSQL,,R,Python,https://www.linkedin.com/jobs2/view/12244585?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735341387%2CVSRPtargetId%3A12244585%2CVSRPcmpt%3Aprimary
